generation,scenario,id,normPref,aprioriAck,legalAck,careAck,epistemicAck,attempts,successes,conflict,debt,momentum,trustCount,trustMax,fulfilled,denied,expired,repaired,role,temperament,moralStance,scenarioGroup,memoryLength,affiliation,enableMoralRepair,enableDirectedEmergence,enableNonReciprocalTargeting,batchRun
1,pluralist,0,apriori,false,false,true,false,396,145,3,3,0.653,4,54,1,3,0,0,mediator,0.8616939408813898,reactive,allCare,0.6643894434119202,pref_care,true,false,false,1
1,pluralist,2,apriori,true,true,false,true,297,132,2,2,0.981,3,45,1,2,0,0,mediator,0.5198456073434812,reactive,pluralist,0.47308650670117103,pref_care,true,false,false,1
1,pluralist,3,apriori,true,false,false,true,297,50,3,3,0.576,3,0,0,3,0,0,initiator,0.5139990629264443,proactive,pluralist,0.5875773328357254,pref_care,true,false,false,1
1,pluralist,5,legal,true,true,false,true,0,0,0,0,0.587,0,0,0,0,0,0,disruptor,0.14927747326988394,reactive,pluralist,0.41113132012114545,pref_legal,true,false,false,1
1,pluralist,6,apriori,false,false,true,false,99,44,1,1,0.408,1,5,0,1,0,0,responder,0.020176794093314965,reactive,allCare,0.5044330567030368,pref_epistemic,true,false,false,1
1,pluralist,7,care,true,true,true,true,495,222,1,1,0.462,4,64,3,1,0,0,initiator,0.7730202505570853,proactive,utopian,0.7645590795579167,pref_epistemic,true,false,false,1
1,pluralist,8,apriori,false,true,true,true,0,0,0,0,0.497,0,0,0,0,0,0,mediator,0.029579061580521038,proactive,pluralist,0.6333135081747616,pref_apriori,true,false,false,1
1,pluralist,9,care,true,true,true,false,297,133,3,3,0.658,3,6,0,3,0,0,mediator,0.2308496646766729,proactive,pluralist,0.4318037952633048,pref_legal,true,false,false,1
1,pluralist,10,epistemic,true,false,false,false,297,73,2,2,0.580,3,2,1,2,0,0,mediator,0.22408124807418905,proactive,pluralist,0.7130234930427414,pref_care,true,false,false,1
1,pluralist,11,epistemic,true,false,true,false,198,65,2,2,0.777,2,1,0,2,0,0,disruptor,0.24452851278361898,reactive,pluralist,0.652356664087433,pref_legal,true,false,false,1
1,pluralist,12,care,false,true,true,true,99,30,0,0,0.522,1,1,1,0,0,0,initiator,0.25879252101002503,proactive,pluralist,0.7143245936530433,pref_legal,true,false,false,1
1,pluralist,13,legal,true,false,false,false,99,11,1,1,0.313,1,0,0,1,0,0,disruptor,0.8356585671101,reactive,pluralist,0.5828123558021593,pref_care,true,false,false,1
1,pluralist,14,epistemic,false,true,true,true,99,7,1,1,0.465,1,0,0,1,0,0,disruptor,0.5564837656370405,proactive,pluralist,0.49645697184923976,pref_care,true,false,false,1
1,pluralist,16,apriori,false,true,true,true,198,106,1,1,0.885,2,58,1,1,0,0,responder,0.823471598797584,reactive,pluralist,0.5472924839482526,pref_legal,true,false,false,1
1,pluralist,17,epistemic,true,true,false,false,0,0,0,0,0.721,0,0,0,0,0,0,mediator,0.6727295820313247,proactive,pluralist,0.7557694852026465,pref_epistemic,true,false,false,1
1,pluralist,18,epistemic,true,true,true,true,297,121,2,2,0.559,3,55,1,2,0,0,responder,0.34747523983555084,reactive,utopian,0.48476973182688243,pref_legal,true,false,false,1
1,pluralist,19,care,false,true,false,false,297,107,1,1,0.764,2,5,1,1,0,0,mediator,0.05959074960502986,reactive,authoritarian,0.7829842475845018,pref_apriori,true,false,false,1
1,pluralist,20,legal,false,true,false,false,297,103,3,3,0.315,3,11,0,3,0,0,responder,0.1514739601990711,proactive,authoritarian,0.6482361402653671,pref_apriori,true,false,false,1
1,pluralist,21,legal,false,true,false,true,99,15,1,1,0.588,1,0,0,1,0,0,disruptor,0.6041268500357174,proactive,pluralist,0.6432427974949781,pref_legal,true,false,false,1
1,pluralist,22,care,false,true,true,true,0,0,0,0,0.454,0,0,0,0,0,0,mediator,0.028200509620779357,proactive,pluralist,0.5315472983358247,pref_care,true,false,false,1
