generation,scenario,id,normPref,aprioriAck,legalAck,careAck,epistemicAck,attempts,successes,conflict,debt,momentum,trustCount,trustMax,fulfilled,denied,expired,repaired,role,temperament,moralStance,scenarioGroup,memoryLength,affiliation,enableMoralRepair,enableDirectedEmergence,enableNonReciprocalTargeting,batchRun
1,pluralist,0,apriori,false,true,false,false,0,0,0,0,0.768,0,0,0,0,0,0,disruptor,0.8821094763598092,proactive,authoritarian,0.5240132500461627,pref_apriori,true,false,false,1
1,pluralist,1,apriori,true,true,false,true,294,144,1,1,0.598,3,24,2,1,0,0,mediator,0.8339303795172285,proactive,pluralist,0.6142777560892659,pref_apriori,true,false,false,1
1,pluralist,2,epistemic,false,false,true,false,0,0,0,0,0.987,0,0,0,0,0,0,responder,0.8829494006644462,reactive,allCare,0.7420867496301466,pref_epistemic,true,false,false,1
1,pluralist,3,epistemic,true,true,false,false,98,28,1,1,0.752,1,0,0,1,0,0,disruptor,0.6295684350649269,proactive,pluralist,0.7754412478798964,pref_epistemic,true,false,false,1
1,pluralist,4,legal,true,false,false,false,196,106,1,1,0.753,2,68,1,1,0,0,disruptor,0.5715726440759054,reactive,pluralist,0.495246700629719,pref_care,true,false,false,1
1,pluralist,5,apriori,true,false,false,false,294,68,3,3,0.496,3,0,0,3,0,0,disruptor,0.5106945194911371,proactive,pluralist,0.7602477152278238,pref_care,true,false,false,1
1,pluralist,6,epistemic,true,true,true,false,392,167,2,2,0.465,2,48,0,2,0,0,mediator,0.8363608556066079,reactive,pluralist,0.6472707875505477,pref_legal,true,false,false,1
1,pluralist,7,legal,false,false,false,true,196,29,0,0,0.701,2,2,2,0,0,0,disruptor,0.9178585633316052,proactive,pluralist,0.5546492625432753,pref_epistemic,true,false,false,1
1,pluralist,8,legal,false,true,false,false,392,150,3,3,0.557,4,11,1,3,0,0,mediator,0.6515489054740637,reactive,authoritarian,0.7635591067523728,pref_legal,true,false,false,1
1,pluralist,10,epistemic,true,false,false,false,0,0,0,0,0.638,0,0,0,0,0,0,responder,0.2877248850113281,proactive,pluralist,0.7564234652412811,pref_epistemic,true,false,false,1
1,pluralist,11,care,true,false,true,true,98,22,0,0,0.917,1,1,1,0,0,0,initiator,0.03303194032867962,reactive,pluralist,0.7633671679183494,pref_apriori,true,false,false,1
1,pluralist,12,care,true,false,true,true,0,0,0,0,0.419,0,0,0,0,0,0,initiator,0.4877210004785625,reactive,pluralist,0.6241986043626112,pref_care,true,false,false,1
1,pluralist,13,legal,false,false,false,true,196,29,2,2,0.331,2,0,0,2,0,0,disruptor,0.3265676073239663,proactive,pluralist,0.6311189629312725,pref_legal,true,false,false,1
1,pluralist,14,care,false,false,true,true,98,22,1,1,0.838,1,0,0,1,0,0,initiator,0.12538657751927507,reactive,pluralist,0.7373722932280802,pref_epistemic,true,false,false,1
