generation,scenario,id,normPref,aprioriAck,legalAck,careAck,epistemicAck,attempts,successes,conflict,debt,momentum,trustCount,trustMax,fulfilled,denied,expired,repaired,role,temperament,moralStance,scenarioGroup,memoryLength,affiliation,enableMoralRepair,enableDirectedEmergence,enableNonReciprocalTargeting,batchRun
1,pluralist,0,legal,true,false,false,false,285,102,3,3,0.306,3,1,0,3,0,0,mediator,0.9229841688985463,reactive,pluralist,0.40711217673427147,pref_apriori,true,false,false,1
1,pluralist,1,care,false,true,true,true,190,59,2,2,0.943,2,2,0,2,0,0,mediator,0.055088674845074403,reactive,pluralist,0.7898268676859939,pref_legal,true,false,false,1
1,pluralist,2,apriori,true,false,false,false,380,147,2,2,0.330,4,12,2,2,0,0,mediator,0.2630405280036071,proactive,pluralist,0.44554967299835846,pref_legal,true,false,false,1
1,pluralist,3,legal,true,true,true,false,190,42,2,2,0.823,2,0,0,2,0,0,disruptor,0.7487438704255738,proactive,pluralist,0.7988256505487079,pref_legal,true,false,false,1
1,pluralist,4,epistemic,false,true,false,false,380,205,2,2,0.776,4,79,2,2,0,0,disruptor,0.8973273697810504,proactive,authoritarian,0.7001687590051588,pref_epistemic,true,false,false,1
1,pluralist,5,legal,false,true,false,true,285,70,2,2,0.671,3,2,1,2,0,0,mediator,0.6682889055653879,proactive,pluralist,0.7832260032007021,pref_epistemic,true,false,false,1
1,pluralist,6,care,false,false,true,false,0,0,0,0,0.315,0,0,0,0,0,0,initiator,0.3210852651646783,reactive,allCare,0.4963084714452103,pref_care,true,false,false,1
1,pluralist,7,epistemic,true,false,true,true,190,61,1,1,0.498,2,2,1,1,0,0,mediator,0.19247946831794105,proactive,pluralist,0.44333871963638205,pref_apriori,true,false,false,1
1,pluralist,8,legal,true,true,true,true,95,43,0,0,0.948,1,2,1,0,0,0,disruptor,0.6799964562023857,proactive,utopian,0.7672720337421002,pref_epistemic,true,false,false,1
1,pluralist,9,legal,true,true,false,false,95,22,1,1,0.970,1,0,0,1,0,0,disruptor,0.36056488395104624,reactive,pluralist,0.45351413834068227,pref_legal,true,false,false,1
1,pluralist,11,epistemic,false,false,false,false,285,70,2,2,0.413,3,1,1,2,0,0,disruptor,0.615204030643186,reactive,collapsed,0.7950034089419145,pref_care,true,false,false,1
1,pluralist,12,epistemic,true,false,true,true,95,19,1,1,0.338,1,0,0,1,0,0,initiator,0.2934425270946801,reactive,pluralist,0.405760611142621,pref_epistemic,true,false,false,1
1,pluralist,13,care,false,false,true,true,285,88,2,2,0.675,3,1,1,2,0,0,mediator,0.5915857248571534,reactive,pluralist,0.7934939393227807,pref_epistemic,true,false,false,1
1,pluralist,14,care,false,true,false,false,285,60,3,3,0.451,3,0,0,3,0,0,mediator,0.07683534801673852,proactive,authoritarian,0.5165922974991954,pref_legal,true,false,false,1
1,pluralist,15,apriori,true,false,false,true,285,85,1,1,0.625,3,4,2,1,0,0,mediator,0.7833040971425994,proactive,pluralist,0.46231053297586566,pref_epistemic,true,false,false,1
1,pluralist,17,apriori,true,false,true,false,190,31,1,1,0.388,2,1,1,1,0,0,disruptor,0.26359184360046284,proactive,pluralist,0.5197391461189673,pref_epistemic,true,false,false,1
1,pluralist,18,epistemic,false,true,true,true,95,67,1,1,0.647,1,41,0,1,0,0,disruptor,0.4847287998251041,proactive,pluralist,0.6894753209150337,pref_epistemic,true,false,false,1
1,pluralist,19,epistemic,false,true,false,false,475,164,2,2,0.400,4,7,2,2,0,0,disruptor,0.7492995846867191,reactive,authoritarian,0.5781172044803922,pref_apriori,true,false,false,1
1,pluralist,20,epistemic,false,true,true,false,380,95,3,3,0.377,4,1,1,3,0,0,mediator,0.42830047186273934,proactive,pluralist,0.6128249288596727,pref_epistemic,true,false,false,1
1,pluralist,21,epistemic,false,true,true,false,95,14,1,1,0.992,1,0,0,1,0,0,initiator,0.5304911565755925,proactive,pluralist,0.6597450435098664,pref_epistemic,true,false,false,1
